reactions,comments,reposts,commentary_text
561,23 comments,171 reposts,"It’s time to say goodbye to your outdated OS and unlock a new era of computing. Say hello to reliable security, and an AI and cloud-first endpoint that’s made for the way you do business today. Welcome to the new era, welcome to ChromeOS.

Learn more 👉"
29,4 reposts,,"Hear from Chrome VP, Parisa Tabriz, as she is interviewed by Chrome Unboxed’s Joe Humphrey. Parisa got started at Google as a hacker intern and now leads the entire Chrome team. Parisa had a few key insights to share:

✔️ The browser is the new endpoint for many organizations

✔️ The key to helping IT teams now is providing enhanced management with  AI capabilities

✔️ The goal of your browser endpoint should be to keep users safe while preserving simplicity and performance



📽️ Watch the video:"
3,3 comments,1 repost,"Over the years, we’ve expanded Search so you can ask a question in many ways — from typing a query to humming a tune. Last week, we introduced even more new AI-powered ways to search what you see and hear. Learn more below!"
3,3 comments,1 repost,"Over the years, we’ve expanded Search so you can ask a question in many ways — from typing a query to humming a tune. Last week, we introduced even more new AI-powered ways to search what you see and hear. Learn more below!"
5,1 comment,2 reposts,"Enjoyed talking with Aleyda Solís for Crawling Mondays, with many good questions about Google Search."
"2,022",65 comments,38 reposts,"Jason Lively spent 14 years in prison after being wrongfully convicted of first-degree murder and first-degree arson. After a decade of appeals, he received a call from his legal team saying that he was going to be let out of prison. His legal team worked with lawyers from Amazon to build his exoneration case. For the past 10 years, Amazon’s legal and public policy teams of over 2,200 employees have volunteered their expertise and resources to make a difference through our pro bono program, and this is one example of that work.

This is one example of how our legal and public policy teams of over 2,200 employees have volunteered to help make a difference through our pro bono program.

When children flee from war, violence, or persecution in their home countries and arrive at the U.S.-Mexico border, they can face the same deportation process as an adult, often without any legal counsel. Our team has partnered withto represent children and help them remain in the U.S.

This is another example.

This need for pro bono work all around the world is greater than ever, and we will continue to invest our time and resources into the program. We are proud to celebrate 10 years of pro bono work at Amazon this year. Read more about the program here:

There are plenty more examples in the link above. Which one sticks out to you the most? ⬇️ 🤔"
225,5 comments,2 reposts,Friday vibes @ Hyd office look lit🔥
"1,283",199 comments,75 reposts,"💡 Employee Spotlight 💡

Meet Chinemerem (Chí-Chí) Nwandu, an HR Assistant at DOX2, who’s inspiring Amazon journey showcases remarkable career growth and the importance of a supportive company culture.

Chí-Chí relocated from Nigeria in January 2020 for her Master's Degree, and shortly after, the world went into lockdown. She found herself in a foreign country, far from family and friends, leaving her lonely and frustrated. Then, she got a job with Amazon, which changed everything.

Chí-Chí started her career at Amazon as a warehouse associate working with a dedicated team focused on maintaining product quality. Two years later, she continued her career at Amazon as an HR Assistant, where she’s been able to utilise her knowledge of employment law and HR/payroll practices, enhance employee engagement, and even have the opportunity to take on an interim managerial position.

A rewarding part of Chí-Chí’s role is aligning HR initiatives with business goals while promoting fairness across the organization. As an active member of the UK Ops Black Employee Network (BEN) affinity group, she’s deeply passionate about promoting diversity, particularly for young Black female employees, and using her voice to raise awareness about the challenges ethnic minorities face in the workplace.

“I enjoy working at Amazon because of its strong commitment to diversity, inclusion, and fostering a supportive workplace culture. Being part of a company that values people from all backgrounds allows for rich collaboration and the exchange of unique perspectives, which drives innovation and creativity.”"
"2,585",157 comments,149 reposts,"Curious about the newest AI features designed to support you at work and beyond? October’s edition of The Monthly Tech-In has got you covered. ✨ 

This month, we explore Microsoft Copilot capabilities, and new experiences for Copilot+ PCs and Windows 11. We also highlight two reports on how we’re working to safeguard your data, as well as advance Microsoft’s commitment to diversity and inclusion."
44,3 comments,,"The key to secure authentication is—a passkey. Check out the benefits of passkeys over traditional passwords, the five phases of adoption, and best practices for implementation: http://msft.it/6048WZIwO 
hashtag
#Passwordless 🔑"
247,9 comments,2 reposts,"Puneet Chandok, President, Microsoft India & South Asia, explores the next big shift in 
hashtag
#AI—from search to conversations, conversations to intelligence, and intelligence to agency. With Microsoft as India’s most trusted AI partner, the future is now."
